Date,Open,High,Low,Close,Volume
13-03-1986,0.0552,0.0633,0.0552,0.0606,1031788800
14-03-1986,0.0606,0.0639,0.0606,0.0628,308160000
17-03-1986,0.0628,0.0644,0.0628,0.0639,133171200
18-03-1986,0.0639,0.0644,0.0617,0.0622,67766400
19-03-1986,0.0622,0.0628,0.0606,0.0611,47894400
20-03-1986,0.0611,0.0611,0.059,0.0595,58435200
21-03-1986,0.0595,0.0606,0.0568,0.0579,59990400
24-03-1986,0.0579,0.0579,0.0557,0.0563,65289600
25-03-1986,0.0563,0.0574,0.0557,0.0574,32083200
26-03-1986,0.0574,0.0595,0.0568,0.059,22752000
27-03-1986,0.059,0.0601,0.059,0.0601,16848000
31-03-1986,0.0601,0.0601,0.0584,0.0595,12873600
01-04-1986,0.0595,0.0595,0.059,0.059,11088000
02-04-1986,0.059,0.0606,0.059,0.0595,27014400
03-04-1986,0.0601,0.0617,0.0601,0.0601,23040000
04-04-1986,0.0601,0.0606,0.0601,0.0601,26582400
07-04-1986,0.0601,0.0606,0.0579,0.059,16560000
08-04-1986,0.059,0.0606,0.059,0.0595,10252800
09-04-1986,0.0595,0.0611,0.0595,0.0606,12153600
10-04-1986,0.0606,0.0617,0.0595,0.0611,13881600
11-04-1986,0.0617,0.0633,0.0617,0.0622,17222400
14-04-1986,0.0622,0.0633,0.0622,0.0628,12153600
15-04-1986,0.0628,0.0628,0.0606,0.0628,9302400
16-04-1986,0.0628,0.0655,0.0622,0.0649,31910400
17-04-1986,0.0649,0.0655,0.0649,0.0655,22003200
18-04-1986,0.0655,0.0655,0.0628,0.0633,21628800
21-04-1986,0.0633,0.0639,0.0617,0.0633,22924800
22-04-1986,0.0633,0.0633,0.0622,0.0622,15552000
23-04-1986,0.0622,0.0628,0.0617,0.0625,15609600
24-04-1986,0.0625,0.0698,0.0622,0.0687,62352000
25-04-1986,0.0693,0.076,0.0693,0.0731,85795200
28-04-1986,0.0731,0.0741,0.0725,0.0736,28886400
29-04-1986,0.0736,0.0736,0.0709,0.0714,30326400
30-04-1986,0.0714,0.072,0.0682,0.0698,30902400
01-05-1986,0.0698,0.0698,0.0676,0.0687,54345600
02-05-1986,0.0687,0.0698,0.0682,0.0687,20246400
05-05-1986,0.0687,0.0687,0.0682,0.0682,3254400
06-05-1986,0.0687,0.0698,0.0687,0.0687,9734400
07-05-1986,0.0687,0.0693,0.0676,0.0687,5155200
08-05-1986,0.0687,0.0693,0.0682,0.0693,3542400
09-05-1986,0.0693,0.0693,0.0687,0.0687,6076800
12-05-1986,0.0687,0.0709,0.0687,0.0693,10483200
13-05-1986,0.0693,0.0703,0.0693,0.0698,3830400
14-05-1986,0.0698,0.0698,0.0693,0.0693,9302400
15-05-1986,0.0693,0.0703,0.0693,0.0693,3801600
16-05-1986,0.0693,0.0714,0.0693,0.0698,11952000
19-05-1986,0.0698,0.0698,0.0682,0.0687,11001600
20-05-1986,0.0687,0.0687,0.0676,0.0682,61977600
21-05-1986,0.0682,0.0687,0.0671,0.0671,8092800
22-05-1986,0.0671,0.0676,0.0671,0.0671,4406400
23-05-1986,0.0671,0.0682,0.0671,0.0671,4089600
27-05-1986,0.0671,0.0693,0.0671,0.0693,13881600
28-05-1986,0.0693,0.0714,0.0693,0.0714,15523200
29-05-1986,0.0714,0.0741,0.0709,0.0731,45676800
30-05-1986,0.0736,0.0768,0.0736,0.0758,27072000
02-06-1986,0.0758,0.0758,0.0736,0.0736,19728000
03-06-1986,0.0736,0.0736,0.0725,0.0736,5011200
04-06-1986,0.0736,0.0741,0.0725,0.0731,4723200
05-06-1986,0.0731,0.0741,0.0725,0.0741,13708800
06-06-1986,0.0741,0.0741,0.0731,0.0741,3427200
09-06-1986,0.0741,0.0741,0.0709,0.0709,12672000
10-06-1986,0.0709,0.0709,0.0698,0.0709,3427200
11-06-1986,0.0709,0.0709,0.0698,0.0709,2304000
12-06-1986,0.0709,0.0709,0.0676,0.0682,13708800
13-06-1986,0.0682,0.0687,0.0676,0.0682,7891200
16-06-1986,0.0682,0.0687,0.0671,0.0676,9590400
17-06-1986,0.0682,0.0698,0.0682,0.0687,13075200
18-06-1986,0.0687,0.0687,0.0671,0.0682,4348800
19-06-1986,0.0682,0.0687,0.0671,0.0676,8467200
20-06-1986,0.0676,0.0682,0.0676,0.0679,3801600
23-06-1986,0.0679,0.0687,0.0666,0.0687,46195200
24-06-1986,0.0687,0.0693,0.0676,0.0682,14572800
25-06-1986,0.0682,0.0687,0.0671,0.0671,15235200
26-06-1986,0.0671,0.0676,0.0649,0.0649,19152000
27-06-1986,0.0649,0.0655,0.0639,0.0644,10396800
30-06-1986,0.0644,0.0682,0.0639,0.0666,62352000
01-07-1986,0.0666,0.0666,0.066,0.0666,47577600
02-07-1986,0.0666,0.0666,0.066,0.0666,52617600
03-07-1986,0.0671,0.0682,0.0671,0.0676,14140800
07-07-1986,0.0676,0.0676,0.0649,0.0649,14054400
08-07-1986,0.0649,0.0649,0.0628,0.0633,14256000
09-07-1986,0.0633,0.0633,0.0601,0.0606,46137600
10-07-1986,0.0606,0.0611,0.0563,0.059,46886400
11-07-1986,0.059,0.0617,0.059,0.0606,17395200
14-07-1986,0.059,0.0611,0.059,0.0598,28598400
15-07-1986,0.0598,0.0617,0.059,0.0606,13190400
16-07-1986,0.0611,0.0628,0.0611,0.0628,9360000
17-07-1986,0.0628,0.0639,0.0622,0.0639,6940800
18-07-1986,0.0639,0.0649,0.0622,0.0644,12326400
21-07-1986,0.0644,0.0655,0.0644,0.0644,3513600
22-07-1986,0.0644,0.0666,0.0644,0.0666,10512000
23-07-1986,0.0666,0.0676,0.0649,0.0649,20793600
24-07-1986,0.066,0.0682,0.066,0.0671,14140800
25-07-1986,0.0671,0.0682,0.0671,0.0676,20448000
28-07-1986,0.0676,0.0676,0.066,0.066,11808000
29-07-1986,0.066,0.0666,0.0633,0.0644,14054400
30-07-1986,0.0644,0.0644,0.0601,0.0622,26409600
31-07-1986,0.0622,0.0628,0.0617,0.0617,15638400
01-08-1986,0.0617,0.0622,0.0606,0.0611,12902400
04-08-1986,0.0611,0.0611,0.0595,0.0611,12441600
05-08-1986,0.0611,0.0617,0.0606,0.0606,2822400
06-08-1986,0.0606,0.0611,0.059,0.0601,18316800
07-08-1986,0.0601,0.0606,0.059,0.0595,3657600
08-08-1986,0.0595,0.0611,0.0595,0.0601,4147200
11-08-1986,0.0611,0.0628,0.0611,0.0622,7948800
12-08-1986,0.0622,0.0639,0.0622,0.0639,9993600
13-08-1986,0.0639,0.0644,0.0633,0.0644,6883200
14-08-1986,0.0644,0.0666,0.0644,0.066,20131200
15-08-1986,0.066,0.0666,0.0655,0.0663,6105600
18-08-1986,0.0663,0.0666,0.0655,0.0655,12787200
19-08-1986,0.0655,0.0657,0.0644,0.0655,20390400
20-08-1986,0.0655,0.0655,0.0649,0.0649,20764800
21-08-1986,0.0649,0.066,0.0649,0.0649,49536000
22-08-1986,0.0649,0.0655,0.0628,0.0639,5760000
25-08-1986,0.0639,0.0639,0.0628,0.0639,2419200
26-08-1986,0.0639,0.0639,0.0633,0.0633,10857600
27-08-1986,0.0633,0.0639,0.0628,0.0633,9532800
28-08-1986,0.0633,0.0639,0.0633,0.0633,3427200
29-08-1986,0.0633,0.0639,0.0606,0.0617,25430400
02-09-1986,0.0617,0.0617,0.0592,0.0601,5212800
03-09-1986,0.0595,0.0595,0.0568,0.0584,18316800
04-09-1986,0.0595,0.0633,0.0595,0.0633,39427200
05-09-1986,0.0633,0.066,0.0628,0.066,26352000
08-09-1986,0.066,0.0666,0.0655,0.0655,9619200
09-09-1986,0.0655,0.0682,0.0655,0.0666,37526400
10-09-1986,0.0666,0.0671,0.0655,0.0655,10886400
11-09-1986,0.0655,0.066,0.0628,0.0628,35654400
12-09-1986,0.0628,0.0633,0.0611,0.0611,24451200
15-09-1986,0.0611,0.0622,0.0601,0.0622,22492800
16-09-1986,0.0622,0.0628,0.0611,0.0622,5184000
17-09-1986,0.0622,0.0649,0.0617,0.0639,8035200
18-09-1986,0.0639,0.0655,0.0639,0.0644,5356800
19-09-1986,0.0644,0.0649,0.0639,0.0644,2505600
22-09-1986,0.0644,0.0644,0.0639,0.0639,4492800
23-09-1986,0.0639,0.0655,0.0639,0.0649,5961600
24-09-1986,0.0649,0.0649,0.0639,0.0641,4780800
25-09-1986,0.0641,0.0644,0.0628,0.0628,5155200
26-09-1986,0.0628,0.0633,0.0622,0.0628,2332800
29-09-1986,0.0628,0.0628,0.0611,0.0611,6192000
30-09-1986,0.0611,0.0622,0.0611,0.0611,5184000
01-10-1986,0.0611,0.0622,0.0595,0.0606,32428800
02-10-1986,0.0606,0.0617,0.0601,0.0606,22723200
03-10-1986,0.0606,0.0617,0.0606,0.0611,14716800
06-10-1986,0.0628,0.0671,0.0628,0.066,85334400
07-10-1986,0.066,0.0687,0.066,0.0674,59788800
08-10-1986,0.0674,0.0701,0.0666,0.0693,119606400
09-10-1986,0.0693,0.0731,0.0693,0.0714,92563200
10-10-1986,0.0714,0.0763,0.0703,0.0747,76752000
13-10-1986,0.0747,0.0747,0.0714,0.0714,27129600
14-10-1986,0.072,0.0731,0.072,0.0725,12873600
15-10-1986,0.0725,0.0763,0.0725,0.0758,63532800
16-10-1986,0.0758,0.0763,0.0752,0.0758,21859200
17-10-1986,0.0758,0.0785,0.0758,0.0779,124444800
20-10-1986,0.0779,0.0795,0.0763,0.0785,43545600
21-10-1986,0.079,0.0817,0.079,0.0817,112377600
22-10-1986,0.0817,0.0825,0.0812,0.0817,54576000
23-10-1986,0.0817,0.0823,0.0809,0.0817,70444800
24-10-1986,0.0817,0.0817,0.079,0.0812,101376000
27-10-1986,0.0817,0.0839,0.0817,0.0839,125654400
28-10-1986,0.0839,0.0871,0.0839,0.0858,142646400
29-10-1986,0.0858,0.086,0.0823,0.0833,53222400
30-10-1986,0.0833,0.086,0.0828,0.085,44380800
31-10-1986,0.085,0.086,0.0833,0.0839,63734400
03-11-1986,0.0844,0.086,0.0844,0.0855,42192000
04-11-1986,0.0855,0.0887,0.0855,0.0887,54403200
05-11-1986,0.0887,0.0947,0.0882,0.0942,45100800
06-11-1986,0.0942,0.0985,0.0936,0.0963,72576000
07-11-1986,0.0963,0.0969,0.0942,0.0958,44323200
10-11-1986,0.0958,0.0958,0.0914,0.092,28684800
11-11-1986,0.0925,0.0936,0.0925,0.0925,11894400
12-11-1986,0.0925,0.0947,0.0914,0.0925,34156800
13-11-1986,0.0925,0.0931,0.0909,0.0912,30211200
14-11-1986,0.0912,0.092,0.0893,0.092,18720000
17-11-1986,0.092,0.0936,0.0909,0.0925,24307200
18-11-1986,0.0925,0.0931,0.0877,0.0877,59673600
19-11-1986,0.0877,0.0914,0.0877,0.0909,48729600
20-11-1986,0.0909,0.0979,0.0909,0.0979,98179200
21-11-1986,0.0985,0.1023,0.0985,0.1012,91065600
24-11-1986,0.1012,0.1098,0.0979,0.1093,173836800
25-11-1986,0.1093,0.1109,0.1088,0.1104,95788800
26-11-1986,0.1104,0.1109,0.1093,0.1093,38793600
